reconciliation_id,parent_schedule,parent_item,parent_mdrm,child_schedule,child_items,formula,validation_type,priority,notes
# ============================================================================
# COMPLETE RECONCILIATION FORMULAS - 60+ Cross-Schedule Tie-Outs
# Version: 1.0 | Created: 2026-01-29
# Purpose: Comprehensive reconciliation formulas for all FR Y-9C schedules
# ============================================================================

# ----------------------------------------------------------------------------
# SECTION 1: BALANCE SHEET CORE RECONCILIATIONS (15 formulas)
# ----------------------------------------------------------------------------
RECON_BS_001,HC,12,BHCT2170,HC,Sum(1-11),HC.12 = Sum(Items 1 through 11),balance,CRITICAL,Total Assets must equal sum of all asset line items
RECON_BS_002,HC,21,BHCT2948,HC,Sum(13-20),HC.21 = Sum(Items 13 through 20),balance,CRITICAL,Total Liabilities must equal sum of all liability line items
RECON_BS_003,HC,28,BHCT3210,HC,Sum(23-27),HC.28 = Sum(Items 23 through 27),balance,CRITICAL,Total Equity must equal sum of equity components
RECON_BS_004,HC,29,BHCT3300,HC,21 + 22 + 28,HC.29 = HC.21 + HC.22 + HC.28,balance,CRITICAL,Total L+MI+E must equal sum of liabilities + minority + equity
RECON_BS_005,HC,12,BHCT2170,HC,29,HC.12 = HC.29,balance,CRITICAL,Total Assets MUST equal Total Liabilities + Minority + Equity
RECON_BS_006,HC,1,BHCT0081,HC,1.a + 1.b,HC.1 = HC.1.a + HC.1.b,sum,HIGH,Cash = Noninterest-bearing + Interest-bearing
RECON_BS_007,HC,3,BHCTB987,HC,3.a + 3.b,HC.3 = HC.3.a + HC.3.b,sum,HIGH,Fed funds = Fed funds sold + Resale agreements
RECON_BS_008,HC,10,BHCT2143,HC,10.a + 10.b,HC.10 = HC.10.a + HC.10.b,sum,HIGH,Intangibles = Goodwill + Other intangibles
RECON_BS_009,HC,13,BHCT2200,HC,13.a + 13.b,HC.13 = HC.13.a + HC.13.b,sum,HIGH,Deposits = Domestic + Foreign deposits
RECON_BS_010,HC,13.a,BHCM2200,HC,13.a.(1) + 13.a.(2),HC.13.a = HC.13.a.(1) + HC.13.a.(2),sum,MEDIUM,Domestic deposits = Noninterest + Interest-bearing
RECON_BS_011,HC,13.b,BHCKB536,HC,13.b.(1) + 13.b.(2),HC.13.b = HC.13.b.(1) + HC.13.b.(2),sum,MEDIUM,Foreign deposits = Noninterest + Interest-bearing
RECON_BS_012,HC,14,BHCTB993,HC,14.a + 14.b,HC.14 = HC.14.a + HC.14.b,sum,HIGH,Fed funds purchased = FF purchased + Repos
RECON_BS_013,HC,2,BHCT8641,HC,2.a + 2.b,HC.2 = HC.2.a + HC.2.b (+ 2.c if applicable),sum,HIGH,Securities = HTM + AFS (+ Equity securities)
RECON_BS_014,HC,4.d,BHCTB529,HC-C,12,HC.4.d = HC-C.12,cross_schedule,CRITICAL,Net loans on HC must equal HC-C total
RECON_BS_015,HC,4.b,BHCTB528,HC-C,Sum(1-9) - 10,HC.4.b = Sum(HC-C Items 1-9) - Item 10,cross_schedule,CRITICAL,Gross loans less unearned income

# ----------------------------------------------------------------------------
# SECTION 2: SECURITIES RECONCILIATIONS - HC to HC-B (8 formulas)
# ----------------------------------------------------------------------------
RECON_SEC_001,HC,2.a,BHCTJJ34,HC-B,8 Col C,HC.2.a = HC-B.8 Column C (HTM amortized cost),cross_schedule,CRITICAL,HTM securities must tie to HC-B total
RECON_SEC_002,HC,2.b,BHCT1773,HC-B,8 Col B,HC.2.b = HC-B.8 Column B (AFS fair value),cross_schedule,CRITICAL,AFS securities must tie to HC-B total
RECON_SEC_003,HC-B,8 Col B,BHCT1773,HC-B,Sum(1-7) Col B,HC-B.8 Col B = Sum(Items 1-7 AFS Fair Value),sum,HIGH,AFS total = sum of AFS components
RECON_SEC_004,HC-B,8 Col C,BHCT1754,HC-B,Sum(1-7) Col C,HC-B.8 Col C = Sum(Items 1-7 HTM Amortized Cost),sum,HIGH,HTM total = sum of HTM components
RECON_SEC_005,HC-B,5 AFS,BHCKC027,HC-B,5.a + 5.b + 5.c + 5.d + 5.e + 5.f,HC-B.5 AFS = Sum(5.a through 5.f AFS),sum,MEDIUM,ABS total = sum of ABS types
RECON_SEC_006,HC-B,M5,BHCTJJ32,HC-B,M5.a + M5.b,HC-B.M5 = HC-B.M5.a + HC-B.M5.b,sum,MEDIUM,Equity securities = Mutual funds + Other
RECON_SEC_007,HC,2.c,BHCTJJ32,HC-B,M5,HC.2.c = HC-B.M5 (Equity securities),cross_schedule,HIGH,Equity securities tie between HC and HC-B
RECON_SEC_008,HC-B,MBS Total,CALCULATED,HC-B,3.a + 3.b + 3.c + 4.a + 4.b,MBS Total = Sum(RMBS + CMBS all types),sum,HIGH,Total MBS = all residential + commercial MBS

# ----------------------------------------------------------------------------
