line_number,item_description,mdrm_consolidated,mdrm_domestic,forms,start_date,notes
1,Loans secured by real estate,RCFD1410,RCON1410,031/041/051,1985-12-31,"Loan category. Consolidated (RCFD, col A); domestic offices (RCON, col B)."
1.a.(1),"Loans secured by RE: Construction, land development, and other land loans: 1-4 family residential construction loans",RCFDF158,RCONF158,031/041/051,2013-06-30,"Loan category. Consolidated (RCFD, col A); domestic offices (RCON, col B)."
1.a.(2),Loans secured by RE: Other construction loans and all land development and other land loans,RCFDF159,RCONF159,031/041/051,2013-06-30,"Loan category. Consolidated (RCFD, col A); domestic offices (RCON, col B)."
1.b,Loans secured by RE: Secured by farmland (incl farm residential and other improvements),RCFD1420,RCON1420,031/041/051,2013-06-30,"Loan category. Consolidated (RCFD, col A); domestic offices (RCON, col B)."
1.c.(1),"Loans secured by RE: Secured by 1-4 family residential: Revolving, open-end loans (HELOCs)",RCFD1797,RCON1797,031/041/051,2013-06-30,"Loan category. Consolidated (RCFD, col A); domestic offices (RCON, col B)."
1.c.(2)(a),Loans secured by RE: 1-4 family residential closed-end: Secured by first liens,RCFD5367,RCON5367,031/041/051,2013-06-30,"Loan category. Consolidated (RCFD, col A); domestic offices (RCON, col B)."
1.c.(2)(b),Loans secured by RE: 1-4 family residential closed-end: Secured by junior liens,RCFD5368,RCON5368,031/041/051,2013-06-30,"Loan category. Consolidated (RCFD, col A); domestic offices (RCON, col B)."
1.d,Loans secured by RE: Secured by multifamily (5 or more) residential properties,RCFD1460,RCON1460,031/041/051,2013-06-30,"Loan category. Consolidated (RCFD, col A); domestic offices (RCON, col B)."
1.e.(1),Loans secured by RE: Nonfarm nonresidential: Owner-occupied,RCFDF160,RCONF160,031/041/051,2013-06-30,"Loan category. Consolidated (RCFD, col A); domestic offices (RCON, col B)."
1.e.(2),Loans secured by RE: Nonfarm nonresidential: Other,RCFDF161,RCONF161,031/041/051,2013-06-30,"Loan category. Consolidated (RCFD, col A); domestic offices (RCON, col B)."
3,Loans to finance agricultural production and other loans to farmers,RCFD1590,RCON1590,031/041/051,1984-03-31,"Loan category. Consolidated (RCFD, col A); domestic offices (RCON, col B)."
6.a,Loans to individuals (consumer loans): Credit cards,RCFDB538,RCONB538,031/041/051,2001-03-31,"Loan category. Consolidated (RCFD, col A); domestic offices (RCON, col B)."
6.b,Loans to individuals: Other revolving credit plans,RCFDB539,RCONB539,031/041/051,2001-03-31,"Loan category. Consolidated (RCFD, col A); domestic offices (RCON, col B)."
6.c,Loans to individuals: Automobile loans,RCFDK137,RCONK137,031/041/051,2011-03-31,"Loan category. Consolidated (RCFD, col A); domestic offices (RCON, col B)."
6.d,"Loans to individuals: Other consumer loans (single payment, installment, student loans)",RCFDK207,RCONK207,031/041/051,2011-03-31,"Loan category. Consolidated (RCFD, col A); domestic offices (RCON, col B)."
8,Obligations (other than securities and leases) of states and political subdivisions in the U.S.,RCFD2107,RCON2107,031/041/051,1994-03-31,"Loan category. Consolidated (RCFD, col A); domestic offices (RCON, col B)."
9.a,Loans to nondepository financial institutions and other loans: Loans to nondepository financial institutions,RCFDJ454,RCONJ454,031/041/051,2017-03-31,"Loan category. Consolidated (RCFD, col A); domestic offices (RCON, col B)."
9.b.(1),Other loans: Loans for purchasing or carrying securities (incl margin loans),RCFD1545,RCON1545,031/041/051,2001-03-31,"Loan category. Consolidated (RCFD, col A); domestic offices (RCON, col B)."
9.b.(2),Other loans: All other loans (exclude consumer loans),RCFDJ451,RCONJ451,031/041/051,2010-03-31,"Loan category. Consolidated (RCFD, col A); domestic offices (RCON, col B)."
10,Lease financing receivables (net of unearned income),RCFD2165,RCON2165,031/041/051,1984-03-31,"Loan category. Consolidated (RCFD, col A); domestic offices (RCON, col B)."
10.a,"Lease financing: Leases to individuals for household, family, and other personal expenditures (consumer leases)",RCFDF162,RCONF162,031/041/051,2007-03-31,"Loan category. Consolidated (RCFD, col A); domestic offices (RCON, col B)."
10.b,Lease financing: All other leases,RCFDF163,RCONF163,031/041/051,2007-03-31,"Loan category. Consolidated (RCFD, col A); domestic offices (RCON, col B)."
11,LESS: Any unearned income on loans reflected in items 1-9 above,RCFD2123,RCON2123,031/041/051,1985-12-31,"Loan category. Consolidated (RCFD, col A); domestic offices (RCON, col B)."
12,Total loans and leases held for investment and held for sale (must equal Sch RC items 4.a+4.b),RCFD2122,RCON2122,031/041/051,1985-12-31,"Loan category. Consolidated (RCFD, col A); domestic offices (RCON, col B)."
2.a,Loans to depository institutions and acceptances of other banks: To commercial banks in the U.S.,RCFDB531,RCONB531,031/041/051,2001-06-30,"Loan category. Consolidated (RCFD, col A); domestic offices (RCON, col B)."
