edit_label,rule_type,kind,forms,first_cycle,last_cycle,n_cycles_observed,n_expression_changes
ffiec031_Neg.RC,validity,sign_block,031,2001-12-31,2026-06-30,30,3
ffiec031_Neg.RCA,validity,sign_block,031,2001-12-31,2026-06-30,30,4
ffiec031_Neg.RCC,validity,sign_block,031,2001-12-31,2026-06-30,30,6
ffiec031_Neg.RCD,validity,bound,031,2001-12-31,2007-12-31,7,0
ffiec031_Neg.RCE.Part1,validity,sign_block,031,2001-12-31,2026-06-30,30,3
ffiec031_Neg.RCE.Part1.Memo,validity,sign_block,031,2001-12-31,2026-06-30,30,7
ffiec031_Neg.RCE.Part2,validity,sign_block,031,2001-12-31,2026-06-30,30,3
ffiec031_Neg.RCG,validity,sign_block,031,2001-12-31,2026-06-30,30,4
ffiec031_Neg.RCH,validity,sign_block,031,2001-12-31,2026-06-30,30,3
ffiec031_Neg.RCI,validity,sign_block,031,2001-12-31,2026-06-30,30,3
ffiec031_Neg.RCK,validity,sign_block,031,2001-12-31,2026-06-30,30,3
ffiec031_Neg.RCL,validity,sign_block,031,2001-12-31,2026-06-30,30,5
ffiec031_Neg.RCM,validity,sign_block,031,2001-12-31,2026-06-30,30,5
ffiec031_Neg.RCO,validity,sign_block,031,2001-12-31,2026-06-30,30,5
ffiec031_Neg.RCR.34to39,validity,compound,031,2001-12-31,2014-12-31,14,2
ffiec031_Neg.RCR.40to43,validity,compound,031,2001-12-31,2014-12-31,14,2
ffiec031_Neg.RCR.44to54,validity,compound,031,2001-12-31,2014-12-31,14,2
ffiec031_Neg.RCR.55toMemo,validity,compound,031,2001-12-31,2014-12-31,14,3
ffiec031_Neg.RCT.12to22,validity,compound,031,2001-12-31,2008-12-31,8,0
ffiec031_Neg.RCT.1to11,validity,compound,031,2001-12-31,2008-12-31,8,0
ffiec031_Neg.RCT.M1,validity,compound,031,2001-12-31,2008-12-31,8,0
ffiec031_Neg.RCT.M2,validity,sign_block,031,2001-12-31,2026-06-30,30,4
ffiec031_Neg.RCT.M3,validity,sign_block,031,2001-12-31,2026-06-30,30,3
ffiec031_Neg.RCT.M4,validity,sign_block,031,2001-12-31,2026-06-30,30,3
ffiec031_Neg.RIA,validity,sign_block,031,2001-12-31,2026-06-30,30,3
ffiec031_Neg.RID,quality,sign_block,031,2001-12-31,2026-06-30,30,5
ffiec031_NegQ.RCM.3A.d,quality,bound,031,2001-12-31,2008-12-31,8,0
ffiec031_NegQ.RCM.3A.f,quality,bound,031,2001-12-31,2008-12-31,8,0
ffiec031_NegQ.RCR.16.d,quality,bound,031,2001-12-31,2014-12-31,14,0
ffiec031_NegQ.RCR.16.f,quality,bound,031,2001-12-31,2014-12-31,14,0
ffiec031_NegQ.RCR.20.d,quality,bound,031,2001-12-31,2014-12-31,14,0
ffiec031_NegQ.RCR.20.f,quality,bound,031,2001-12-31,2014-12-31,14,0
ffiec031_NegQ.RCR.6.d,quality,bound,031,2001-12-31,2014-12-31,14,0
ffiec031_NegQ.RCR.6.f,quality,bound,031,2001-12-31,2014-12-31,14,0
ffiec031_NegQ.RCT.4A.d,quality,bound,031,2001-12-31,2026-06-30,30,0
ffiec031_NegQ.RCT.4A.f,quality,bound,031,2001-12-31,2026-06-30,30,0
ffiec031_NegQ.RCT.4B.d,quality,bound,031,2001-12-31,2026-06-30,30,0
ffiec031_NegQ.RCT.4B.f,quality,bound,031,2001-12-31,2026-06-30,30,0
ffiec031_NegQ.RI.1A1A,quality,bound,031,2001-12-31,2007-12-31,7,0
ffiec031_NegQ.RI.1A1B,quality,bound,031,2001-12-31,2026-06-30,30,0
ffiec031_NegQ.RI.1A1C,quality,bound,031,2001-12-31,2026-06-30,30,0
ffiec031_NegQ.RI.1A1D1,quality,bound,031,2001-12-31,2026-06-30,30,0
ffiec031_NegQ.RI.1A1D2,quality,bound,031,2001-12-31,2026-06-30,30,0
ffiec031_NegQ.RI.1A1E,quality,bound,031,2001-12-31,2026-06-30,30,0
ffiec031_NegQ.RI.1A1F,quality,bound,031,2001-12-31,2026-06-30,30,0
ffiec031_NegQ.RI.1A2,quality,bound,031,2001-12-31,2026-06-30,30,0
