code_list,code,value_label,notes
BHC_IND,0,N/A,
BHC_IND,1,Entity is a BHC,
BHC_IND,2,Not a BHC but directly/indirectly controls a grandfathered non-bank bank,
FHC_IND,0,N/A,
FHC_IND,1,Entity is an FHC,
FHC_IND,2,Entity is an SLHC designated an FHC,
SLHC_IND,0,N/A,Also applies to rows with DT_START<20110721
SLHC_IND,1,Entity is a savings & loan holding company,Eff. 2011-07-21; entity controlling both banks & thrifts is a BHC not SLHC
IHC_IND,0,N/A,
IHC_IND,1,Entity is an IHC,
FBO_4C9_IND,,FBO exemption from non-bank activity restrictions (BHC 4(c)9 / Reg K 211.23),"UNVERIFIED: digest describes the indicator but does not enumerate discrete 0/1 code values; eligible if (disregarding U.S. banking) >half of worldwide business is banking and >half of banking business is outside the U.S."
BNK_TYPE_ANALYS_CD,0,N/A,
BNK_TYPE_ANALYS_CD,1,Bankers bank subject to reserve requirements,
BNK_TYPE_ANALYS_CD,2,Bankers bank NOT subject to reserve requirements,
BNK_TYPE_ANALYS_CD,3,Grandfathered non-bank bank,
BNK_TYPE_ANALYS_CD,4,Primarily credit-card activities,
BNK_TYPE_ANALYS_CD,5,Wholesale bank (commercial bank charter),
BNK_TYPE_ANALYS_CD,6,Standalone Internet Bank (SAIB),
BNK_TYPE_ANALYS_CD,7,Workout entity,
BNK_TYPE_ANALYS_CD,8,Depository Institution National Bank (DINB),
BNK_TYPE_ANALYS_CD,9,Depository trust company,
BNK_TYPE_ANALYS_CD,10,Bridge entity,
BNK_TYPE_ANALYS_CD,11,Banking Edge or Agreement Corp,
BNK_TYPE_ANALYS_CD,12,Investment Edge or Agreement Corp,
BNK_TYPE_ANALYS_CD,13,Data processing services,
BNK_TYPE_ANALYS_CD,14,Trust preferred securities subsidiary,
BNK_TYPE_ANALYS_CD,15,Cash management banks,
BNK_TYPE_ANALYS_CD,16,Farm credit system institution,
BNK_TYPE_ANALYS_CD,17,10L Election (state savings bank deemed savings assoc under HOLA 10(l)),
BNK_TYPE_ANALYS_CD,18,Grandfathered SLHC,
BNK_TYPE_ANALYS_CD,19,Securities Holding Company,
BNK_TYPE_ANALYS_CD,20,Designated Financial Market Utility,
BROAD_REG_CD,0,N/A (branches/non-head-office),
BROAD_REG_CD,1,Banks per BHC Act/Reg Y,"Full statutory bank definition NPW PDF pp.7-8; excludes foreign banks, certain savings assocs, trust-only, limited credit-card banks, private banks, deposit-or-loan-only, Edge/Agreement, credit unions"
BROAD_REG_CD,2,Other depository institution,"Accepts deposits per FRA 19(b)(1)(A) / Reg D 204.2 (m,n,o,p)"
BROAD_REG_CD,3,Non-depository institution,
BROAD_REG_CD,4,Inactive institution,
CHTR_AUTH_CD,0,N/A,"Non-U.S. chartered by non-U.S. authorities, pseudo entities, non-banking charter types"
CHTR_AUTH_CD,1,Federal (National),
CHTR_AUTH_CD,2,State (or equivalent),
CHTR_TYPE_CD,0,Not available/N/A (branches),
CHTR_TYPE_CD,110,Government Agency / GSE,e.g. farm credit banks
CHTR_TYPE_CD,200,Commercial Bank,"Incl. depository trust cos, credit-card cos w/ commercial bank charters, private banks, development banks, limited-charter banks (BNK_TYPE_ANALYS_CD 4,5), foreign banks"
CHTR_TYPE_CD,250,Non-deposit Trust Company,
CHTR_TYPE_CD,300,Savings Bank,
CHTR_TYPE_CD,310,Savings & Loan Association,
CHTR_TYPE_CD,320,Cooperative Bank,
CHTR_TYPE_CD,330,Credit Union,Excl. corporate credit union
CHTR_TYPE_CD,340,Industrial Bank,Incl. industrial loan cos & Morris Plan banks
CHTR_TYPE_CD,400,Edge or Agreement Corporation,
CHTR_TYPE_CD,500,Holding Company only,Not itself any other charter type; not necessarily a BHC
CHTR_TYPE_CD,550,Insurance Broker/Agent and/or Insurance Company,Incl. underwriting
CHTR_TYPE_CD,610,Employee Stock Ownership Plan/Trust (ESOP/ESOT),
CHTR_TYPE_CD,700,Securities Broker and/or Dealer,Incl. underwriting
CHTR_TYPE_CD,710,Utility Company or Electric Power Co-generator,
CHTR_TYPE_CD,720,Other Non-Depository Institution,Incl. credit-card cos w/o commercial bank charters
CNSRVTR_CD,0,N/A,
