form,parent_form,entity_level,regulator,frequency,asset_threshold,description,key_schedules,data_relationship,notes
FR Y-9C,-,Bank Holding Company,Federal Reserve,Quarterly,$5B consolidated assets,Consolidated Financial Statements for Holding Companies,HC; HC-B; HC-D; HC-L; HC-Q; HC-R; HI,Consolidates subsidiary bank Call Reports,Primary BHC regulatory filing
FFIEC Call Report,-,Insured Depository Institution,FFIEC (Fed/OCC/FDIC),Quarterly,All FDIC-insured banks,Report of Condition and Income (Call Report),RC; RC-B; RC-D; RC-L; RC-Q; RC-R; RI,Bank-level data; Feeds into FR Y-9C,Universal bank-level filing
FR Y-14A,FR Y-9C,Bank Holding Company,Federal Reserve,Annual,$100B consolidated assets,Comprehensive Capital Analysis - Annual,A.1 Income; A.2 Balance Sheet; A.3 Capital,Detailed stress test data; Supplements Y-9C,CCAR annual submission
FR Y-14Q,FR Y-9C,Bank Holding Company,Federal Reserve,Quarterly,$100B consolidated assets,Comprehensive Capital Analysis - Quarterly,G Trading; E Counterparty; H PPNR,Ongoing stress test data; Supplements Y-9C,Quarterly CCAR data
FR Y-14M,FR Y-9C,Bank Holding Company,Federal Reserve,Monthly,$100B consolidated assets,Comprehensive Capital Analysis - Monthly,Mortgage; HELOC; Credit Card,Loan-level granular data,Monthly portfolio detail
FR 2052a,FR Y-9C,Bank Holding Company/IHC,Federal Reserve,Daily/Monthly,Large BHCs and IHCs,Complex Institution Liquidity Monitoring Report,Inflows; Outflows; HQLA,Liquidity data; Links to Y-9C balance sheet,LCR/NSFR calculation basis
Pillar 3,FR Y-9C,Bank Holding Company,Basel Committee via Fed,Quarterly/Annual,G-SIBs and large intl active,Basel III Public Disclosure Requirements,KM1; CR1; MR1; LIQ1,Public disclosure of risk metrics,Basel III transparency requirement
FR Y-9LP,FR Y-9C,Bank Holding Company,Federal Reserve,Quarterly,$5B-500M,Parent Company Only Financial Statements,Parent only balance sheet,Parent-only (non-consolidated),Non-complex BHCs between $1B-3B
FR Y-9SP,FR Y-9C,Bank Holding Company,Federal Reserve,Semi-Annual,$500M-$5B,Small Holding Company,Abbreviated schedules,Summary financials only,For smaller BHCs
FFIEC 002,FFIEC Call Report,Foreign Branch/Agency,FFIEC,Quarterly,All US branches of foreign banks,Report of Assets and Liabilities of US Branches,Assets; Liabilities; Off-balance sheet,Foreign bank US operations,US operations of foreign banks
FR Y-11,FR Y-9C,Foreign Subsidiary,Federal Reserve,Quarterly,Foreign subs of US BHCs,Report of Assets and Liabilities of Large Foreign Offices,Balance sheet of foreign subs,Foreign subsidiary data,Foreign operations detail
FR Y-15,FR Y-9C,Bank Holding Company,Federal Reserve,Annual,$100B consolidated assets,Systemic Risk Report,G-SIB indicators; TLAC,G-SIB assessment data,Method 1 and Method 2 scores
