form_id,form_name,data_source_forms,aggregation_level,reporter_threshold,frequency,purpose,primary_schedules,key_data_elements
# ============================================================================
# FORM REPORTING HIERARCHY - Which Forms Feed Into Which
# Version: 1.0 | Created: 2026-01-29
# Purpose: Shows data flow and relationships between regulatory forms
# ============================================================================

# ----------------------------------------------------------------------------
# TIER 1: PRIMARY SOURCE FORMS (Bank-Level Data)
# ----------------------------------------------------------------------------
FFIEC_031,Call Report - Foreign Offices,N/A,Bank level,All FDIC-insured banks with foreign offices,Quarterly,Universal bank-level filing for banks with foreign operations,RC;RC-B;RC-C;RC-D;RC-L;RC-N;RC-Q;RC-R;RI,Total Assets;Loans;Deposits;Capital;Income
FFIEC_041,Call Report - Domestic Only,N/A,Bank level,All FDIC-insured banks domestic only,Quarterly,Universal bank-level filing for domestic-only banks,RC;RC-B;RC-C;RC-D;RC-L;RC-N;RC-Q;RC-R;RI,Total Assets;Loans;Deposits;Capital;Income
FFIEC_051,Call Report - Small Banks,N/A,Bank level,Banks <$5B domestic only,Quarterly,Simplified filing for smaller banks,RC;RC-B;RC-C;RC-R;RI,Total Assets;Loans;Deposits;Capital;Income

# ----------------------------------------------------------------------------
# TIER 2: CONSOLIDATED BHC FORMS (Aggregated from Bank Data)
# ----------------------------------------------------------------------------
FR_Y9C,Consolidated BHC Report,FFIEC 031/041/051,BHC consolidated,$5B+ consolidated assets,Quarterly,Primary BHC regulatory filing consolidating subsidiary banks,HC;HC-B;HC-C;HC-D;HC-L;HC-N;HC-Q;HC-R;HI,Total Assets;Securities;Loans;Trading;Derivatives;Capital
FR_Y9LP,Parent Company Only,FR Y-9C,BHC parent only,$5B+ non-complex BHCs,Quarterly,Parent company only financial statements (non-consolidated),PC-A;PC-B;PC-C,Parent Assets;Intercompany;Double Leverage
FR_Y9SP,Small BHC Report,FFIEC 031/041/051,BHC consolidated,$500M-$5B consolidated,Semi-Annual,Simplified BHC filing for smaller holding companies,Abbreviated schedules,Summary financials

# ----------------------------------------------------------------------------
# TIER 3: STRESS TESTING FORMS (Supplements Y-9C Data)
# ----------------------------------------------------------------------------
FR_Y14A,Capital Assessment Annual,FR Y-9C + granular,BHC consolidated,$100B+ consolidated,Annual,Comprehensive Capital Analysis annual submission for CCAR,A.1 Income;A.2 Balance Sheet;A.3 Capital;A.4 RWA,Scenario projections;PPNR;Losses;Capital
FR_Y14Q,Capital Assessment Quarterly,FR Y-9C + granular,BHC consolidated,$100B+ consolidated,Quarterly,Quarterly CCAR data including trading and counterparty,G Trading;H PPNR;E Counterparty;F Securities,Trading detail;PPNR drivers;CVA
FR_Y14M,Capital Assessment Monthly,FR Y-9C + granular,BHC consolidated,$100B+ consolidated,Monthly,Monthly loan-level portfolio data for stress testing,Mortgage;HELOC;Credit Card;C&I;CRE,Loan-level data;LTV;FICO;DTI

# ----------------------------------------------------------------------------
# TIER 4: LIQUIDITY MONITORING (Daily/Monthly Data)
# ----------------------------------------------------------------------------
