mnemonic,item_code,item_name,confidentiality,item_type,description
RI01,4769,OTHER EXPLANATIONS,Y,F,A one-digit code indicating whether there are any text information on the file. 0 = No text has been submitted by the commercial bank. 1 = Text is on the file. In the space provided on the report form; the bank may; at its option; list and briefly describe any other significant items relating to the report of income. The bank's other explanations must not exceed 750 characters; including punctuation and standard spacing between words and sentences. COMPARABILITY: Prior to 9/30/91; 2 = text submi
RI01,6980,BANK MANAGEMENT STATEMENT,N,F,Includes a brief narrative statement on the amounts reported in the Reports of Condition and Income by the management of the reporting bank. The text is limited to 750 characters; including punctuation and spaces. Banks choosing to submit the narrative statement should ensure that the statement does not contain the names or other identifications of individual bank customers; references to the amounts reported in the confidential items in Schedule RC-N; or any other information that they are not 
RI02,4769,OTHER EXPLANATIONS,Y,F,A one-digit code indicating whether there are any text information on the file. 0 = No text has been submitted by the commercial bank. 1 = Text is on the file. In the space provided on the report form; the bank may; at its option; list and briefly describe any other significant items relating to the report of income. The bank's other explanations must not exceed 750 characters; including punctuation and standard spacing between words and sentences. COMPARABILITY: Prior to 9/30/91; 2 = text submi
RI02,6980,BANK MANAGEMENT STATEMENT,N,F,Includes a brief narrative statement on the amounts reported in the Reports of Condition and Income by the management of the reporting bank. The text is limited to 750 characters; including punctuation and spaces. Banks choosing to submit the narrative statement should ensure that the statement does not contain the names or other identifications of individual bank customers; references to the amounts reported in the confidential items in Schedule RC-N; or any other information that they are not 
RI03,4769,OTHER EXPLANATIONS,Y,F,A one-digit code indicating whether there are any text information on the file. 0 = No text has been submitted by the commercial bank. 1 = Text is on the file. In the space provided on the report form; the bank may; at its option; list and briefly describe any other significant items relating to the report of income. The bank's other explanations must not exceed 750 characters; including punctuation and standard spacing between words and sentences. COMPARABILITY: Prior to 9/30/91; 2 = text submi
RI03,6980,BANK MANAGEMENT STATEMENT,N,F,Includes a brief narrative statement on the amounts reported in the Reports of Condition and Income by the management of the reporting bank. The text is limited to 750 characters; including punctuation and spaces. Banks choosing to submit the narrative statement should ensure that the statement does not contain the names or other identifications of individual bank customers; references to the amounts reported in the confidential items in Schedule RC-N; or any other information that they are not 
RI04,4769,OTHER EXPLANATIONS,Y,F,A one-digit code indicating whether there are any text information on the file. 0 = No text has been submitted by the commercial bank. 1 = Text is on the file. In the space provided on the report form; the bank may; at its option; list and briefly describe any other significant items relating to the report of income. The bank's other explanations must not exceed 750 characters; including punctuation and standard spacing between words and sentences. COMPARABILITY: Prior to 9/30/91; 2 = text submi
RI04,6980,BANK MANAGEMENT STATEMENT,N,F,Includes a brief narrative statement on the amounts reported in the Reports of Condition and Income by the management of the reporting bank. The text is limited to 750 characters; including punctuation and spaces. Banks choosing to submit the narrative statement should ensure that the statement does not contain the names or other identifications of individual bank customers; references to the amounts reported in the confidential items in Schedule RC-N; or any other information that they are not 
RI05,4769,OTHER EXPLANATIONS,Y,F,A one-digit code indicating whether there are any text information on the file. 0 = No text has been submitted by the commercial bank. 1 = Text is on the file. In the space provided on the report form; the bank may; at its option; list and briefly describe any other significant items relating to the report of income. The bank's other explanations must not exceed 750 characters; including punctuation and standard spacing between words and sentences. COMPARABILITY: Prior to 9/30/91; 2 = text submi
RI05,6980,BANK MANAGEMENT STATEMENT,N,F,Includes a brief narrative statement on the amounts reported in the Reports of Condition and Income by the management of the reporting bank. The text is limited to 750 characters; including punctuation and spaces. Banks choosing to submit the narrative statement should ensure that the statement does not contain the names or other identifications of individual bank customers; references to the amounts reported in the confidential items in Schedule RC-N; or any other information that they are not 
RI06,4769,OTHER EXPLANATIONS,Y,F,A one-digit code indicating whether there are any text information on the file. 0 = No text has been submitted by the commercial bank. 1 = Text is on the file. In the space provided on the report form; the bank may; at its option; list and briefly describe any other significant items relating to the report of income. The bank's other explanations must not exceed 750 characters; including punctuation and standard spacing between words and sentences. COMPARABILITY: Prior to 9/30/91; 2 = text submi
RI06,6980,BANK MANAGEMENT STATEMENT,N,F,Includes a brief narrative statement on the amounts reported in the Reports of Condition and Income by the management of the reporting bank. The text is limited to 750 characters; including punctuation and spaces. Banks choosing to submit the narrative statement should ensure that the statement does not contain the names or other identifications of individual bank customers; references to the amounts reported in the confidential items in Schedule RC-N; or any other information that they are not 
RI07,4769,OTHER EXPLANATIONS,Y,F,A one-digit code indicating whether there are any text information on the file. 0 = No text has been submitted by the commercial bank. 1 = Text is on the file. In the space provided on the report form; the bank may; at its option; list and briefly describe any other significant items relating to the report of income. The bank's other explanations must not exceed 750 characters; including punctuation and standard spacing between words and sentences. COMPARABILITY: Prior to 9/30/91; 2 = text submi
RI07,6980,BANK MANAGEMENT STATEMENT,N,F,Includes a brief narrative statement on the amounts reported in the Reports of Condition and Income by the management of the reporting bank. The text is limited to 750 characters; including punctuation and spaces. Banks choosing to submit the narrative statement should ensure that the statement does not contain the names or other identifications of individual bank customers; references to the amounts reported in the confidential items in Schedule RC-N; or any other information that they are not 
RI08,4769,OTHER EXPLANATIONS,Y,F,A one-digit code indicating whether there are any text information on the file. 0 = No text has been submitted by the commercial bank. 1 = Text is on the file. In the space provided on the report form; the bank may; at its option; list and briefly describe any other significant items relating to the report of income. The bank's other explanations must not exceed 750 characters; including punctuation and standard spacing between words and sentences. COMPARABILITY: Prior to 9/30/91; 2 = text submi
RI08,6980,BANK MANAGEMENT STATEMENT,N,F,Includes a brief narrative statement on the amounts reported in the Reports of Condition and Income by the management of the reporting bank. The text is limited to 750 characters; including punctuation and spaces. Banks choosing to submit the narrative statement should ensure that the statement does not contain the names or other identifications of individual bank customers; references to the amounts reported in the confidential items in Schedule RC-N; or any other information that they are not 
RI09,4769,OTHER EXPLANATIONS,Y,F,A one-digit code indicating whether there are any text information on the file. 0 = No text has been submitted by the commercial bank. 1 = Text is on the file. In the space provided on the report form; the bank may; at its option; list and briefly describe any other significant items relating to the report of income. The bank's other explanations must not exceed 750 characters; including punctuation and standard spacing between words and sentences. COMPARABILITY: Prior to 9/30/91; 2 = text submi
RI09,6980,BANK MANAGEMENT STATEMENT,N,F,Includes a brief narrative statement on the amounts reported in the Reports of Condition and Income by the management of the reporting bank. The text is limited to 750 characters; including punctuation and spaces. Banks choosing to submit the narrative statement should ensure that the statement does not contain the names or other identifications of individual bank customers; references to the amounts reported in the confidential items in Schedule RC-N; or any other information that they are not 
RI10,4769,OTHER EXPLANATIONS,Y,F,A one-digit code indicating whether there are any text information on the file. 0 = No text has been submitted by the commercial bank. 1 = Text is on the file. In the space provided on the report form; the bank may; at its option; list and briefly describe any other significant items relating to the report of income. The bank's other explanations must not exceed 750 characters; including punctuation and standard spacing between words and sentences. COMPARABILITY: Prior to 9/30/91; 2 = text submi
